가게이름,카테고리,주소,전화번호,영업시간,메뉴,최소가격,최대가격,차액,평점,사진,주소,나이대,분위기,목적
궁전제과 충장점,배달,광주시 동구 충장로1가 1-9,062-222-3477,매일 오전 10시 - 오후 9시 30분,"['밀크쉐이크', '나비파이', '오곡라떼', '녹차', '공룡알', '팥빙수', '우유빙수', '딸기빙수', '딸기우유빙수', '아메리카노', '핫초코', '아이스초코']","['3,300원', '3,500원', '3,500원', '3,000원', '3,500원', '7,500원', '7,500원', '7,500원', '7,500원', '1,500원', '3,500원', '3,500원']",1500,7500,6000,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20230428024842478_photo_3830a767a64c.jpg,https://www.diningcode.com/profile.php?rid=LitfK8zUnmyd,[],[],[]
진스통,배달,광주시 동구 황금동 41-3,062-233-3788,매일 오전 11시 - 오후 10시,"['원조 추억의 상추튀김 1인분', '대박 왕새우튀김 1인분', '킹 소세지 오므라이스', '베이컨 듬뿍 까르보나라스파게티', '20세기 모듬 상추튀김 1인분', '수제 돈까스', '수제 왕 돈까스']","['6,500원', '9,000원', '6,900원', '7,500원', '7,500원', '6,500원', '7,500원']",6500,9000,2500,4.3점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220301123723182_photo_4f5c74b01ea8.jpg,https://www.diningcode.com/profile.php?rid=UzIwKzDO84l3,"['20대', '50대']","['점심식사', '저녁식사', '혼밥', '데이트', '식사모임', '간식']","['가성비좋은', '푸짐한', '서민적인']"
글라시에홍,배달,광주시 동구 불로동 3-6,062-413-2107,매일 정오 12시 - 오후 10시,"['120cc 싱글컵', '500cc 더블팩_포장전용', '750cc 트리플팩_포장전용', '1000cc 패밀리팩_포장전용']","['4,500원', '15,000원', '21,000원', '28,000원']",4500,28000,23500,5.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220409095334159_photo_b56536820c9a.jpg,https://www.diningcode.com/profile.php?rid=qE2quPrQcH7A,"['20대', '30대']","['데이트', '간식']","['깔끔한', '이색적인']"
쪼아저씨네 파스타,배달,광주시 동구 황금동 22,062-234-8786,"월,화,목,금,토/일 오전 11시 30분 - 오후 9시","['찹스테이크', '피칸테디마레크림', '디 마레 토마토', '포모도로', '꼬제', '볼로네제', '디 마레 크림', '살모네', '그란치오', '풍기', '까르보나라', '팬 스테이크 스페셜', '팬 안심 스테이크', '마르게리따', '고르곤졸라', '알리오올리오', '리소토디마레', '뽈로에풍기']","['13,500원', '10,000원', '10,000원', '9,500원', '9,500원', '10,000원', '10,000원', '10,500원', '10,000원', '9,500원', '10,000원', '19,000원', '22,000원', '8,000원', '7,000원', '9,500원', '10,500원', '10,500원']",7000,22000,15000,4.6점,https://d12zq4w4guyljn.cloudfront.net/750_750_20230129133251_photo1_bafb58e4aa35.jpg,https://www.diningcode.com/profile.php?rid=AIwzJ39Q7aYB,"['20대', '30대']","['점심식사', '저녁식사', '데이트', '식사모임']","['가성비좋은', '푸짐한', '서민적인', '조용한', '깔끔한', '예쁜']"
민속촌,배달,광주시 동구 광산동 69,062-224-4577,매일 오전 11시 30분 - 오후 10시,"['돼지갈비', '소양념갈비', '생돼지갈비', '옛날불고기솥밥', '불사리', '웰빙쟁반냉면', '물/비빔냉면', '돌판비빔밥', '왕갈비탕']","['16,000원', '30,000원', '19,000원', '13,000원', '4,000원', '13,000원', '8,000원', '10,000원', '14,000원']",4000,30000,26000,4.1점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220601020941_photo1_2d875e9f1993.jpg,https://www.diningcode.com/profile.php?rid=FIxGljisSwRE,"['20대', '40대']","['점심식사', '저녁식사', '데이트', '회식', '가족외식', '아이동반', '식사모임', '술모임']","['푸짐한', '고급스러운', '서민적인', '시끌벅적한', '깔끔한', '지역주민이찾는']"
카페 304 충장점,배달,광주시 동구 불로동 11-5,062-232-0304,매일 오전 11시 30분 - 오후 9시 30분,"['에스프레소', '아메리카노', '(Takeout -1,000할인)카푸치노(hot)', '(Takeout -1,000할인)아메리카노', '(Takeout -1,000할인)카페라떼', '퐁크러쉬', '제주말차라떼', '발로나초콜릿라떼', '유자에이드', '패션후르츠에이드', '패션후르츠티', '사과유자티', '카페라떼', '제주청귤에이드', '제주청귤차', '얼그레이밀크티', '쿨허벌', '씨브리즈', '저스트프룻', '딸기라떼', '딸기크림라떼', '(Takeout -1000할인)발로나카페모카', '(Takeout -1000할인)플러피화이트(ice)', '바닐라라떼', '(Takeout -1000할인)아몬드봉봉(ice)', '(Takeout -1000할인)아이스크림라떼(ice)', '(Takeout -1000할인)304라떼(ice)', '카라멜마끼아또', '(Takeout -1,000할인)카라멜마끼아또', '(Takeout -1,000할인)바닐라라떼', '플랫화이트', '(Takeout -1,000할인)플랫화이트', '카푸치노(only hot)']","['5,000원', '5,000원', '4,300원', '4,000원', '4,500원', '6,300원', '6,000원', '6,000원', '5,500원', '6,500원', '6,500원', '5,500원', '5,500원', '6,000원', '5,500원', '6,500원', '6,000원', '6,000원', '6,000원', '6,000원', '6,500원', '5,000원', '4,800원', '5,800원', '5,000원', '5,300원', '5,500원', '5,800원', '4,800원', '4,800원', '5,300원', '4,300원', '5,300원']",4000,6500,2500,4.5점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220207094831245_photo_b56536820c9a.jpg,https://www.diningcode.com/profile.php?rid=cJ4jX2WJHaqK,[],[],[]
카페바리에,배달,광주시 동구 불로동 21-9,062-224-8241,"월,수,목,금,토/일 오전 11시 30분 - 오후 8시 50분","['시금치 피자', '해산물 빠쉐 파스타', '까르보나라', '육각 코코넛커피(ONLY ICE)', '에스프레소', '아메리카노', '카푸치노', '비엔나', 'WINE', 'BEER', '바리에 스테이크', '오가닉 그린 스테이크 라이스', '돼지바베큐 라이스', '감바스앤브레드', '웨지 감자', '스테이크 샐러드', '알리오올리오', '봉골레']","['21,500원', '20,500원', '18,500원', '6,800원', '4,500원', '5,000원', '5,500원', '6,500원', '12500~83000', '4000~9000', '49,500원', '21,000원', '19,000원', '18,000원', '7,500원', '19,500원', '16,500원', '19,500원']",4500,49500,45000,3.8점,https://d12zq4w4guyljn.cloudfront.net/750_750_20211226082914_photo1_6b78389d0d49.jpg,https://www.diningcode.com/profile.php?rid=lgyzJp5WgqJI,"['20대', '40대']","['점심식사', '저녁식사', '데이트', '가족외식', '식사모임']","['분위기좋은', '깔끔한', '예쁜', '지역주민이찾는']"
오로라양식,배달,광주시 동구 불로동 14-4,062-233-1255,"월,수,목,금 오전 11시 - 오후 3시","['경양식 돈까스', '치즈김치볶음밥', '쉬림프로제파스타', '오므라이스', '불고기크림파스타']","['9,900원', '12,000원', '14,900원', '9,900원', '13,900원']",9900,14900,5000,3.6점,https://d12zq4w4guyljn.cloudfront.net/750_750_20210721050308_photo1_626e45778b31.jpg,https://www.diningcode.com/profile.php?rid=WzEOvrT2toPN,"['20대', '40대']","['점심식사', '저녁식사', '데이트']","['깔끔한', '예쁜', '지역주민이찾는']"
마한지,배달,광주시 동구 광산동 71-4,062-234-9261,매일 오전 11시 30분 - 오후 10시,"['마늘갈비 (200g)', '구운갈비(전 300g, 후 160g)', '소양념갈비 (250g)', '웰빙쟁반냉면', '물/비빔 냉면', '왕갈비탕', '돌판비빔밥']","['17,000원', '16,500원', '30,000원', '13,000원', '8,000원', '14,000원', '10,000원']",8000,30000,22000,4.7점,https://d12zq4w4guyljn.cloudfront.net/750_750_20191121110623370_photo_1756598c659e.jpg,https://www.diningcode.com/profile.php?rid=mYCllv17yWm3,"['30대', '40대']","['저녁식사', '회식']","['푸짐한', '깔끔한']"
보광옥,배달,광주시 동구 충장로5가 69-2,062-224-5790,"화,수,목,금,토/일 오전 11시 - 오후 9시 30분","['돼지갈비', '(점심)김치찌개', '소주/맥주']","['16,000원', '8,000원', '5,000원']",5000,16000,11000,4.6점,https://d12zq4w4guyljn.cloudfront.net/750_750_20200627123406087_photo_7a33056f5623.jpg,https://www.diningcode.com/profile.php?rid=Pstfj7iNtR01,"['30대', '40대']","['점심식사', '저녁식사', '회식', '가족외식', '식사모임', '술모임']","['가성비좋은', '서민적인', '시끌벅적한', '깔끔한', '지역주민이찾는']"
에머이 광주충장로점,배달,광주시 동구 충장로3가 2-1,062-222-7174,"월-금,토 오전 11시 - 오후 9시 40분 (부처님 오신 날)","['양지쌀국수', '차돌쌀국수', '반쎄오', '불고기쌀국수', '매운쌀국수', '분짜', '볶음밥', '껌팃헤오', '롤만두', '똠찌엔', '야채볶음']","['10,900원', '13,000원', '18,000원', '12,000원', '11,900원', '15,000원', '10,900원', '10,900원', '7,500원', '7,500원', '9,000원']",7500,18000,10500,4.5점,https://d12zq4w4guyljn.cloudfront.net/750_750_20230308084606_photo1_87d6486b3107.jpg,https://www.diningcode.com/profile.php?rid=IxVXX5JDWffE,[],[],[]
